# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.maxCacheSizeInBytes,1776800376005000000,1776800383579000000,195035136
StorageLockContext.competingThreads.90P,1776800376005000000,1776800383579000000,0
DirectByteBufferAllocator.misses,1776800376005000000,1776800383579000000,186
FilePageCache.disposedBuffers,1776800376005000000,1776800383579000000,189
FilePageCacheLockFree.totalPagesWriteMs,1776800376005000000,1776800383579000000,0
FilePageCache.pageHits,1776800376005000000,1776800383579000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1776800376005000000,1776800383579000000,0
FilePageCacheLockFree.totalBytesRequested,1776800376005000000,1776800383579000000,0
FilePageCacheLockFree.totalBytesRead,1776800376005000000,1776800383579000000,0
FilePageCache.totalPageLoadsUs,1776800376005000000,1776800383579000000,78497
FilePageCacheLockFree.totalBytesWritten,1776800376005000000,1776800383579000000,0
FilePageCacheLockFree.totalPagesHandedOver,1776800376005000000,1776800383579000000,0
DirectByteBufferAllocator.reclaimed,1776800376005000000,1776800383579000000,43
DirectByteBufferAllocator.hits,1776800376005000000,1776800383579000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1776800376005000000,1776800383579000000,0
FilePageCache.maxRegisteredFiles,1776800376005000000,1776800383579000000,518
FilePageCacheLockFree.totalPageAllocationsWaited,1776800376005000000,1776800383579000000,0
FilePageCache.uncachedFileAccess,1776800376005000000,1776800383579000000,328
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776800376005000000,1776800383579000000,41943040
FilePageCacheLockFree.totalHeapBytesReclaimed,1776800376005000000,1776800383579000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1776800376005000000,1776800383579000000,0
FilePageCache.capacityInBytes,1776800376005000000,1776800383579000000,503316478
FilePageCacheLockFree.totalPagesWritten,1776800376005000000,1776800383579000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776800376005000000,1776800383579000000,41943040
FilePageCacheLockFree.totalNativeBytesReclaimed,1776800376005000000,1776800383579000000,0
FilePageCache.totalPageDisposalsUs,1776800376005000000,1776800383579000000,925
FilePageCacheLockFree.totalPagesRequestsMs,1776800376005000000,1776800383579000000,0
FilePageCacheLockFree.totalPagesAllocated,1776800376005000000,1776800383579000000,0
FilePageCache.pageLoads,1776800376005000000,1776800383579000000,189
StorageLockContext.competingThreads.max,1776800376005000000,1776800383579000000,0
FilePageCache.pageFastCacheHits,1776800376005000000,1776800383579000000,13106
NonBlockingReadAction.failedExecutionTimeUs,1776800376005000000,1776800383579000000,0
AWTEventQueue.dispatchTimeTotalNS,1776800376005000000,1776800383579000000,5626386785
NonBlockingReadAction.failedExecutionsCount,1776800376005000000,1776800383579000000,0
NonBlockingReadAction.finalizedExecutionsCount,1776800376005000000,1776800383579000000,17
NonBlockingReadAction.finalizedExecutionTimeUs,1776800376005000000,1776800383579000000,35639
workspaceModel.on.before.changed.ms,1776800376005000000,1776800383579000000,0
workspaceModel.collect.changes.ms,1776800376005000000,1776800383579000000,0
workspaceModel.check.recursive.update.ms,1776800376005000000,1776800383579000000,0
workspaceModel.loading.total.ms,1776800376005000000,1776800383579000000,2
workspaceModel.cachedValueWithParameters.clear.count,1776800376005000000,1776800383579000000,0
workspaceModel.cachedValue.total.get.count,1776800376005000000,1776800383579000000,7
workspaceModel.initializing.ms,1776800376005000000,1776800383579000000,0
